strategy_name,stock_code,stock_name,trade_date,buy_price,sell_price,sell_date,return_rate,profit,is_profitable,sell_tick_steps
首红断低吸1,002805.SZ,未知,2025-06-23,13.11,13.94,2025-06-24,0.06331045003813883,231321.0,True,1472
首红断低吸1,002067.SZ,未知,2025-06-24,3.83,3.89,2025-06-25,0.015665796344647532,60870.0,True,832
首红断低吸1,600666.SH,未知,2025-06-25,2.93,3.29,2025-06-26,0.12286689419795217,484884.0,True,2348
首红断低吸1,603212.SH,未知,2025-06-26,11.87,12.84,2025-06-30,0.08171861836562769,362101.0,True,-1
首红断低吸1,002724.SZ,未知,2025-06-30,7.69,7.88,2025-07-01,0.024707412223667034,118427.0,True,832
首红断低吸1,001359.SZ,未知,2025-07-01,34.06,33.88,2025-07-02,-0.005284791544333521,-25956.0,False,1232
首红断低吸1,603928.SH,未知,2025-07-02,19.58,19.72,2025-07-03,0.007150153217568978,34930.0,True,976
首红断低吸1,600876.SH,未知,2025-07-04,12.11,13.01,2025-07-08,0.07431874483897609,365670.0,True,-1
首红断低吸1,002263.SZ,未知,2025-07-07,4.38,4.59,2025-07-09,0.047945205479452045,253449.0,True,-1
首红断低吸1,002908.SZ,未知,2025-07-08,11.3,11.58,2025-07-09,0.024778761061946843,137256.0,True,-1
首红断低吸1,002314.SZ,未知,2025-07-09,3.26,3.63,2025-07-11,0.11349693251533746,644318.0,True,112
首红断低吸1,001269.SZ,未知,2025-07-10,29.21,27.91,2025-07-14,-0.044505306401917175,-281320.0,False,-1
首红断低吸1,603081.SH,未知,2025-07-11,12.0,13.24,2025-07-14,0.10333333333333335,624092.0,True,1114
首红断低吸1,002912.SZ,未知,2025-07-15,26.25,26.96,2025-07-16,0.02704761904761908,180198.0,True,-1
首红断低吸1,002562.SZ,未知,2025-07-16,6.44,6.22,2025-07-18,-0.03416149068322991,-233816.0,False,-1
首红断低吸1,603109.SH,未知,2025-07-17,28.98,29.18,2025-07-18,0.006901311249137312,45620.0,True,832
首红断低吸1,002550.SZ,未知,2025-07-18,11.25,12.46,2025-07-21,0.10755555555555563,715836.0000000009,True,1472
首红断低吸1,002401.SZ,未知,2025-07-21,20.25,20.58,2025-07-22,0.01629629629629621,120119.99999999907,True,-1
首红断低吸1,002167.SZ,未知,2025-07-22,12.75,12.91,2025-07-23,0.012549019607843149,94016.0,True,-1
首红断低吸1,600425.SH,未知,2025-07-23,4.39,4.3,2025-07-25,-0.020501138952163978,-155519.99999999907,False,-1
首红断低吸1,002639.SZ,未知,2025-07-25,11.88,11.29,2025-07-29,-0.0496632996632998,-368986.00000000186,False,-1
首红断低吸1,002240.SZ,未知,2025-07-28,16.28,16.31,2025-07-30,0.0018427518427516943,13010.999999998137,True,-1
