strategy_name,stock_code,stock_name,trade_date,buy_price,sell_price,sell_date,return_rate,profit,is_profitable,sell_tick_steps,date,daily_budget,daily_investment,daily_return,daily_ratio,daily_real_return_rate,daily_budget_return_rate,has_trade,base_budget_return,remaining_budget_return,base_budget_return_rate,remaining_budget_return_rate,base_budget,remaining_budget,trade_count
倒接力31,000880.SZ,未知,2025-02-17,23.7,22.86,2025-02-19,-0.0354430379746835,-76524.0,False,240,2025-02-17,380096.0,117570.0,-3270.0,0.3093165937026435,-0.008603089745748442,-0.027813217657565704,True,-3270.0,0.0,-0.02610124791036364,0.0,125281.3662867678,254814.63371323218,5
倒接力31,603516.SH,未知,2025-02-18,56.12,54.03,2025-02-19,-0.0372416250890947,-77539.0,False,8,2025-02-18,376826.0,112468.0,-4408.0,0.2984613588234358,-0.011697706633830999,-0.03919337055873671,True,-4408.0,0.0,-0.03549012620532252,0.0,124203.55944913275,252622.44055086724,5
倒接力31,603315.SH,未知,2025-02-20,13.68,14.62,2025-02-21,0.0687134502923976,137710.0,True,46,2025-02-20,372418.0,119256.0,7938.0,0.32022082713510086,0.02131475922216434,0.06656268866975247,True,7938.0,0.0,0.06466767534098543,0.0,122750.66264781922,249667.3373521808,5
倒接力31,002272.SZ,未知,2025-02-21,11.48,12.3,2025-02-24,0.0714285714285714,153012.0,True,687,2025-02-21,380356.0,122971.0,9869.0,0.3233050089915763,0.025946744628716257,0.08025469419619259,True,9869.0,0.0,0.0787208356574108,0.0,125367.06346651861,254988.9365334814,5
倒接力31,000815.SZ,未知,2025-02-24,12.54,12.25,2025-02-25,-0.0231259968102072,-53099.0,False,2,2025-02-24,390225.0,124952.0,-4902.0,0.3202050099301685,-0.01256198347107438,-0.03923106472885588,True,-4902.0,0.0,-0.03811228924892238,0.0,128619.93064713643,261605.0693528636,5
倒接力31,603767.SH,未知,2025-02-27,14.45,13.83,2025-02-28,-0.0429065743944636,-96224.0,False,2,2025-02-27,385323.0,122645.0,-3707.0,0.3182914074685394,-0.009620500203725187,-0.030225447429573157,True,-3707.0,0.0,-0.02918800898982014,0.0,127004.20920429636,258318.79079570365,5
倒接力31,002042.SZ,未知,2025-02-28,6.2,5.78,2025-03-03,-0.0677419354838709,-145404.0,False,2,2025-02-28,381616.0,124743.0,-5675.0,0.32688094838790827,-0.014870969770659511,-0.04549353470735833,True,-5675.0,0.0,-0.04511761240702244,0.0,125782.36518377248,255833.63481622754,5
倒接力31,002759.SZ,未知,2025-03-04,9.5,8.98,2025-03-05,-0.0547368421052631,-109512.0,False,2,2025-03-04,375941.0,185354.0,-1264.0000000000036,0.4930401312971982,-0.0033622297115770924,-0.006819383450046957,True,-2187.0000000000036,923.0,-0.017649642334475007,0.003662274917595286,123911.85943344254,252029.14056655747,5
倒接力31,601020.SH,未知,2025-03-05,17.36,22.55,2025-03-07,0.2989631336405531,565191.0,True,151,2025-03-05,374677.0,48678.0,14462.000000000004,0.1299199043442752,0.03859857957654194,0.2970951970089158,True,14462.000000000004,0.0,0.11710572878925292,0.0,123495.23929803865,251181.76070196135,2
倒接力31,603166.SH,未知,2025-03-06,12.16,13.01,2025-03-07,0.0699013157894736,171700.0,True,387,2025-03-06,389139.0,125499.0,7203.0,0.32250429795008984,0.018510095364381366,0.057394879640475224,True,7203.0,0.0,0.05615849679924028,0.0,128261.9801194081,260877.0198805919,5
倒接力31,603822.SH,未知,2025-03-07,57.4,59.71,2025-03-10,0.0402439024390244,105567.0,True,404,2025-03-07,396342.0,117396.0,2024.0,0.296198737454017,0.0051067007786204845,0.01724079184980749,True,2024.0,0.0,0.015493417709921188,0.0,130636.12160304272,265705.8783969573,5
倒接力31,605100.SH,未知,2025-03-11,28.8,33.06,2025-03-12,0.1479166666666667,404274.0,True,113,2025-03-11,398366.0,127701.0,21069.00000000002,0.3205619957526496,0.052888549725629244,0.16498696173091845,True,21069.00000000002,0.0,0.16046062389276497,0.0,131303.24118694893,267062.75881305104,5
倒接力31,002195.SZ,未知,2025-03-12,7.15,6.7,2025-03-13,-0.0629370629370629,-197505.0,False,8,2025-03-12,419435.0,136344.0,-9044.0,0.325065862410147,-0.021562339814273964,-0.06633221850613155,True,-9044.0,0.0,-0.06541881970927955,0.0,138247.67918760117,281187.3208123988,5
倒接力31,603788.SH,未知,2025-03-13,19.08,17.93,2025-03-14,-0.0602725366876309,-177214.99999999953,False,47,2025-03-13,410391.0,202008.0,-4778.000000000004,0.49223301680592413,-0.011642555514131655,-0.02365252861272823,True,-5441.000000000004,663.0,-0.04022422785479964,0.002409820165474628,135266.7357504234,275124.2642495766,6
倒接力31,600429.SH,未知,2025-03-17,4.68,4.55,2025-03-18,-0.0277777777777777,-76765.0,False,8,2025-03-17,405613.0,132453.0,-3233.0,0.3265501845355055,-0.007970651828220496,-0.024408658165537965,True,-3233.0,0.0,-0.024182469964164854,0.0,133691.8852702337,271921.11472976627,5
倒接力31,002048.SZ,未知,2025-03-18,18.7,18.06,2025-03-19,-0.0342245989304813,-91904.0,False,46,2025-03-18,402380.0,195272.0,-224.0,0.48529250956806996,-0.0005566877081365873,-0.0011471178663607685,True,-2618.0,2394.0,-0.019739678458721814,0.008874761560214234,132626.27380048626,269753.72619951377,6
倒接力31,603966.SH,未知,2025-03-19,9.4,9.27,2025-03-20,-0.0138297872340426,-35880.0,False,83,2025-03-19,402156.0,129476.0,-623.0000000000036,0.3219546643591044,-0.001549150081063079,-0.00481170255491368,True,-623.0000000000036,0.0,-0.00470002656152341,0.0,132552.4423840856,269603.5576159144,5
倒接力31,600579.SH,未知,2025-03-24,9.35,8.92,2025-03-25,-0.0459893048128342,-117691.0,False,2,2025-03-24,401533.0,129528.0,-4648.000000000004,0.32258369797750125,-0.011575636373598194,-0.03588413316039778,True,-4648.000000000004,0.0,-0.035119772504619395,0.0,132347.09875722116,269185.90124277887,5
倒接力31,000541.SZ,未知,2025-03-25,8.58,8.7,2025-03-26,0.0139860139860138,34140.0,True,535,2025-03-25,396885.0,129330.0,299.9999999999891,0.32586265542915455,0.0007558864658528014,0.0023196474135930493,True,299.9999999999891,0.0,0.0022933132886429255,0.0,130815.09686690688,266069.90313309315,5
倒接力31,600593.SH,未知,2025-03-27,36.5,34.98,2025-03-28,-0.0416438356164384,-103056.0,False,103,2025-03-27,397185.0,119584.0,-7648.000000000018,0.30107884235305965,-0.019255510656243358,-0.0639550441530641,True,-7648.000000000018,0.0,-0.05842004118667168,0.0,130913.97822815781,266271.0217718422,5
倒接力31,601069.SH,未知,2025-03-31,15.49,16.72,2025-04-01,0.0794060684312458,188313.0,True,181,2025-03-31,389537.0,123908.0,6508.000000000004,0.3180904509712813,0.0167070137111494,0.05252283952610004,True,6508.000000000004,0.0,0.05068805738450632,0.0,128393.16272533432,261143.83727466568,5
倒接力31,603072.SH,未知,2025-04-03,49.04,55.23,2025-04-07,0.1262234910277324,323118.0,True,387,2025-04-03,396045.0,122592.0,15483.0,0.3095405825095633,0.039094042343673065,0.12629698512137824,True,15483.0,0.0,0.11860893250994355,0.0,130538.2290554043,265506.7709445957,5
倒接力31,002165.SZ,未知,2025-04-07,7.3,7.13,2025-04-08,-0.0232876712328767,-67150.0,False,113,2025-04-07,411528.0,133618.0,-2426.0,0.3246875060749208,-0.005895103127855213,-0.018156236435210825,True,-2426.0,0.0,-0.017885382199267393,0.0,135641.49610956438,275886.5038904356,5
倒接力31,600354.SH,未知,2025-04-08,6.38,7.49,2025-04-09,0.1739811912225705,490065.0,True,113,2025-04-08,409102.0,133498.0,25290.0,0.32631959755757733,0.06181832403654834,0.18944104031521072,True,25290.0,0.0,0.18755301278572994,0.0,134841.87550158193,274260.12449841807,5
倒接力31,002100.SZ,未知,2025-04-09,6.78,6.59,2025-04-10,-0.028023598820059,-92663.0,False,2,2025-04-09,434392.0,141463.0,-4391.0,0.3256574706716514,-0.010108381369822648,-0.031039918565278553,True,-4391.0,0.0,-0.03066821059685328,0.0,143177.57425503462,291214.4257449654,5
倒接力31,603069.SH,未知,2025-04-10,18.41,19.27,2025-04-11,0.046713742531233,150156.0,True,894,2025-04-10,430001.0,135334.0,3410.0000000000036,0.3147295006290683,0.007930214115781134,0.02519692021221573,True,3410.0000000000036,0.0,0.024059784418796765,0.0,141730.28073085862,288270.7192691414,5
倒接力31,002685.SZ,未知,2025-04-14,6.44,6.56,2025-04-15,0.0186335403726706,62688.0,True,398,2025-04-14,433411.0,140668.0,3652.0,0.3245602903479607,0.00842618207659704,0.025961839224272757,True,3652.0,0.0,0.025564520866216824,0.0,142854.23220374412,290556.7677962559,5
倒接力31,600590.SH,未知,2025-04-15,10.5,9.98,2025-04-16,-0.0495238095238094,-169728.0,False,24,2025-04-15,437063.0,140900.0,-6170.000000000004,0.3223791535774019,-0.014116957967158061,-0.04378992193044715,True,-6170.000000000004,0.0,-0.042829986729252686,0.0,144057.94797470534,293005.05202529463,5
倒接力31,001368.SZ,未知,2025-04-18,23.5,22.22,2025-04-21,-0.054468085106383,-177408.0,False,2,2025-04-18,430893.0,140064.0,-6743.999999999996,0.32505517611100665,-0.01565121735558479,-0.048149417409184346,True,-6743.999999999996,0.0,-0.047484835840401314,0.0,142024.28797831136,288868.71202168864,5
倒接力31,002796.SZ,未知,2025-04-21,12.0,11.68,2025-04-23,-0.0266666666666666,-82112.0,False,88,2025-04-21,424149.0,136733.0,-4749.000000000004,0.3223702048101021,-0.011196537065983897,-0.034731922798446634,True,-4749.000000000004,0.0,-0.033969608400429036,0.0,139801.43497739066,284347.5650226093,5
