股票代码,股票名称,交易日期,买入价格,卖出价格,收益率,收益金额,是否盈利
600410.SH,,2025-08-15,18.66,20.68,10.83%,487426.00,是
600860.SH,,2025-08-18,14.20,13.83,-2.61%,-130055.00,否
002871.SZ,,2025-08-19,16.45,17.18,4.44%,215715.00,是
002382.SZ,,2025-08-20,6.77,6.52,-3.69%,-187475.00,否
600864.SH,,2025-08-21,8.58,7.93,-7.58%,-370435.00,否

统计摘要
总交易次数,177
盈利交易次数,96
亏损交易次数,81
胜率,54.24%
总收益,4319355.00
总收益率,2159.68%
最大回撤,36.03%
夏普比率,4.2208
最大盈利股票,603757.SH()
最大盈利金额,546110.00
最大亏损股票,600864.SH()
最大亏损金额,-370435.00
最终资金,4519355.00
适应度得分,1.706282
